VENUE	PokerAtlasURL
Joker's Casino	https://www.pokeratlas.com/poker-room/jokers-casino-richland
Wild Goose Casino	https://www.pokeratlas.com/poker-room/wild-goose-casino-ellensburg
Silver Dollar Casino (Renton)	https://www.pokeratlas.com/poker-room/silver-dollar-renton
Silver Dollar Casino (SeaTac)	https://www.pokeratlas.com/poker-room/silver-dollar-seattle
Roman Casino	https://www.pokeratlas.com/poker-room/roman-casino
All Star Lanes & Casino	https://www.pokeratlas.com/poker-room/all-star-lanes-silverdale
Lilac Lanes & Casino	https://www.pokeratlas.com/poker-room/lilac-lanes-spokane
Hollywood Charles Town	https://www.pokeratlas.com/poker-room/hwood-charles-town
Mardi Gras Casino	https://www.pokeratlas.com/poker-room/mardi-gras-casino-nitro
Potawatomi Casino Hotel	https://www.pokeratlas.com/poker-room/potawatomi-casino-milwaukee
Oneida Casino	https://www.pokeratlas.com/poker-room/oneida-casino-green-bay
Sevenwinds Casino	https://www.pokeratlas.com/poker-room/sevenwinds-hayward
Lake of the Torches	https://www.pokeratlas.com/poker-room/lake-of-the-torches-lac-du-flambeau
Wind River Casino	https://www.pokeratlas.com/poker-room/wind-river-casino-riverton
101 Poker Club	https://www.pokeratlas.com/poker-room/101-poker-club-katy
52 Pick Up Social	https://www.pokeratlas.com/poker-room/52-social-club-round-rock
9 Dragons	
Ace 1 Social Club	https://www.pokeratlas.com/poker-room/ace-1-social-club-corpus-christi
Ace Card Club	https://www.pokeratlas.com/poker-room/ace-1-social-club-corpus-christi
Ace High Social	https://www.pokeratlas.com/poker-room/ace-high-social-burleson
Aggieland Poker Club	https://www.pokeratlas.com/poker-room/aggieland-poker-club-college-station
Alamo Card House 2	https://www.pokeratlas.com/poker-room/alamo-card-house-2-san-antonio
Alpha Social Card Club	https://www.pokeratlas.com/poker-room/alpha-social-card-club-wichita-falls
Amarillo Social Club	https://www.pokeratlas.com/poker-room/amarillo-social-club
Bluefelt El Paso Card Club	
Broadway Social Club	
Bullets Card Club	https://www.pokeratlas.com/poker-room/bullets-card-club-austin
Comal Card Haus	https://www.pokeratlas.com/poker-room/comal-card-haus-new-braunfels
Crossroads Card House	https://www.pokeratlas.com/poker-room/crossroads-card-house-victoria
Doghouse Poker Club	https://www.pokeratlas.com/poker-room/doghouse-poker-club-cypress
Elite Poker Lounge	https://www.pokeratlas.com/poker-room/elite-poker-lounge-mcallen
Empire Poker Club	https://www.pokeratlas.com/poker-room/empire-poker-club-houston
